timestamp,value
2025-04-03 01:44:26,6418
2025-04-03 01:44:26,6418
2025-04-03 01:44:26,6418
2025-04-03 01:44:26,6418
2025-04-03 01:44:26,6418
2025-04-03 01:44:26,6418
2025-04-03 01:44:27,15011151
2025-04-03 01:44:27,18011151
2025-04-03 01:44:27,6418
2025-04-03 01:44:27,6418
2025-04-03 01:44:27,6418
2025-04-03 01:44:27,18011151
2025-04-03 01:44:27,6418
2025-04-03 01:44:27,6418
2025-04-03 01:44:28,6418
2025-04-03 01:44:28,6418
2025-04-03 01:44:28,6418
2025-04-03 01:44:28,18011151
2025-04-03 01:44:28,6418
2025-04-03 01:44:28,13011151
2025-04-03 01:44:28,6418
2025-04-03 01:44:28,6418
2025-04-03 01:44:29,6418
2025-04-03 01:44:29,6418
2025-04-03 01:44:29,6418
2025-04-03 01:44:29,6418
2025-04-03 01:44:29,6418
2025-04-03 01:44:29,18011151
2025-04-03 01:44:29,5.153
2025-04-03 01:44:30,5.151
2025-04-03 01:44:30,5.151
2025-04-03 01:44:30,5.150
2025-04-03 01:44:30,5.150
2025-04-03 01:44:30,5.150
2025-04-03 01:44:30,5.149
2025-04-03 01:44:30,5.149
2025-04-03 01:44:30,5.149
2025-04-03 01:44:31,5.149
2025-04-03 01:44:31,5.149
2025-04-03 01:44:31,5.149
2025-04-03 01:44:31,5.148
2025-04-03 01:44:31,5.149
2025-04-03 01:44:41,6418
2025-04-03 01:44:41,6418
2025-04-03 01:44:42,6418
2025-04-03 01:44:42,6418
2025-04-03 01:44:42,6418
2025-04-03 01:44:42,6418
2025-04-03 01:44:42,15011151
2025-04-03 01:44:42,18011151
2025-04-03 01:44:42,6418
2025-04-03 01:44:42,6418
2025-04-03 01:44:43,6418
2025-04-03 01:44:43,18011151
2025-04-03 01:44:43,6418
2025-04-03 01:44:43,6418
2025-04-03 01:44:43,6418
2025-04-03 01:44:43,6418
2025-04-03 01:44:43,6418
2025-04-03 01:44:43,18011151
2025-04-03 01:44:44,6418
2025-04-03 01:44:44,13011151
2025-04-03 01:44:44,6418
2025-04-03 01:44:44,6418
2025-04-03 01:44:44,6418
2025-04-03 01:44:44,6418
2025-04-03 01:44:44,6418
2025-04-03 01:44:44,6418
2025-04-03 01:44:45,6418
2025-04-03 01:44:45,18011151
2025-04-03 01:44:45,5.153
2025-04-03 01:44:45,5.151
2025-04-03 01:44:45,5.151
2025-04-03 01:44:45,5.150
2025-04-03 01:44:45,5.150
2025-04-03 01:44:46,5.150
2025-04-03 01:44:46,5.149
2025-04-03 01:44:46,5.149
2025-04-03 01:44:46,5.149
2025-04-03 01:44:46,5.149
2025-04-03 01:44:46,5.149
2025-04-03 01:44:46,5.149
2025-04-03 01:44:46,5.148
2025-04-03 01:44:47,5.149
2025-04-03 01:44:47,5.148
2025-04-03 01:44:47,5.148
2025-04-03 01:44:47,5.148
2025-04-03 01:44:47,5.148
2025-04-03 01:44:47,5.148
2025-04-03 01:44:47,5.148
2025-04-03 01:44:48,5.148
2025-04-03 01:44:48,5.148
